训练集文件及个数：D:/train_test/train123_1.txt  300
测试集文件及个数：D:/train_test/test123_1.txt  300
F_CNN = 0.07,F_Matrix = 0.08

代数: 		平均正确率: 	测试正确率: 
1		0.376667        0.353333
5		0.38            0.353333
21		0.393333        0.353333
54		0.416667        0.45
130		0.453333        0.483333
158		0.47            0.5
605		0.503333        0.533333
701		0.51            0.503333
