训练集文件及个数：D:/train_test/train01.txt  300
测试集文件及个数：D:/train_test/test01.txt  1000
F_CNN = 0.07,F_Matrix = 0.08

代数: 		平均正确率: 	测试正确率: 
1		0.61            0.537
4		0.615           0.537
7		0.62            0.537
26		0.625           0.537
86		0.65            0.537
140		0.905           0.956
169		0.93            0.967
333		0.94            0.972
544		0.955           0.982
1094		0.965           0.99
1368		0.97            0.986
